更新国际化文件地址: E:\Quicktcon\evo-amr\evo-rcs-web-dev\2.8.2\server-plugins\server-map-editor-plugin\config\locale\en-US.js: 
>>>>mapEditor.menu 的更新记录：Map Editor  ---> Map Editor 
>>>>mapEditor.common.compilationSavedSuccessfully 的更新记录：Compilation saved successfully!  ---> Compilation saved successfully! 
>>>>mapEditor.common.problemWithFileFormat 的更新记录：There is a problem with the file format. Convert it to UTF-8 format and try again!  ---> There is a problem with the file format. Convert it to UTF-8 format and try again! 
>>>>mapEditor.common.mapDataCheckResults 的更新记录：********[Map data check results]********  ---> ********[Map data check results]******** 
>>>>mapEditor.common.mapConnectivityCheckResults 的更新记录：********【Map connectivity check results】********  ---> ********【Map connectivity check results】******** 
>>>>mapEditor.common.mapPublishedSuccessfully 的更新记录：Map published successfully  ---> Map published successfully 
>>>>mapEditor.common.mapPublishedOnlineSuccessfully 的更新记录：Map published online successfully  ---> Map published online successfully 
>>>>mapEditor.common.RCSnotificationFailed 的更新记录：RCS notification map launch request failed  ---> RCS notification map launch request failed 
>>>>mapEditor.common.RCSrefreshFailed 的更新记录：Map online successfully, RCS refresh request failed  ---> Map online successfully, RCS refresh request failed 
>>>>mapEditor.common.RCSnotificationsuccessful 的更新记录：RCS notification map launch request success  ---> RCS notification map launch request success 
>>>>mapEditor.common.RCSrefreshsuccessful 的更新记录：Map online successfully, RCS refresh request  successful  ---> Map online successfully, RCS refresh request  successful 
>>>>mapEditor.common.WCSnotificationFailed 的更新记录：WCS notification map launch request failed  ---> WCS notification map launch request failed 
>>>>mapEditor.common.WCSrefreshFailed 的更新记录：Map online successfully, WCS refresh request failed  ---> Map online successfully, WCS refresh request failed 
>>>>mapEditor.common.WCSnotificationsuccessful 的更新记录：WCS notification map launch request success  ---> WCS notification map launch request success 
>>>>mapEditor.common.WCSrefreshsuccessful 的更新记录：Map online successfully, WCS refresh request  successful  ---> Map online successfully, WCS refresh request  successful 
>>>>mapEditor.common.mapPublishedOnlineFailed 的更新记录：Failed to publish new map online  ---> Failed To Publish New Map Online 
>>>>mapEditor.mapEditor.exportedExcelName 的更新记录：Imported_codePoint_template  ---> Imported_codePoint_template 
>>>>mapEditor.mapEditor.mustBeInteger 的更新记录：Must be an integer  ---> Must be an integer 
>>>>mapEditor.mapEditor.title 的更新记录：Basic  ---> Basic 
>>>>mapEditor.mapEditor.rule.no 的更新记录：Rule No  ---> Rule Number 
>>>>mapEditor.mapEditor.description 的更新记录：Description  ---> Description 
>>>>mapEditor.mapEditor.status 的更新记录：Status  ---> Status Of Use 
>>>>mapEditor.mapEditor.updatedAt 的更新记录：Update Time  ---> Update Time 
>>>>mapEditor.mapEditor.op 的更新记录：Operation  ---> Operate 
>>>>mapEditor.mapEditor.op.edit 的更新记录：Edit  ---> Modify 
>>>>mapEditor.mapEditor.op.del 的更新记录：Delete  ---> Delete 
>>>>mapEditor.mapEditor.op.download 的更新记录：Download  ---> Download 
>>>>mapEditor.mapEditor.status.close 的更新记录：Closed  ---> Close 
>>>>mapEditor.mapEditor.status.running 的更新记录：Running  ---> Running 
>>>>mapEditor.mapEditor.status.online 的更新记录：Online  ---> Online 
>>>>mapEditor.mapEditor.status.ex 的更新记录：Excetion  ---> Error 
>>>>mapEditor.mapEditor.callNo 的更新记录：Service Called No  ---> Service Called Count 
>>>>mapEditor.mapEditor.btn.download 的更新记录：Download  ---> Download 
>>>>mapEditor.mapEditor.btn.go 的更新记录：Goto  ---> Link To 
>>>>mapEditor.mapEditor.new 的更新记录：New  ---> New 
>>>>mapEditor.mapEditor.new.content 的更新记录：New。。。。
*Another Line  ---> New。。。。
*Another Line 
>>>>mapEditor.mapEditor.mock.desc 的更新记录：This is another description  ---> This is a description. 
>>>>mapEditor.mapEditor.customCodePoint 的更新记录：Custom code point  ---> Custom Code Point 
>>>>mapEditor.mapEditor.movePoint 的更新记录：Move Point  ---> Move Point 
>>>>mapEditor.mapEditor.coordinateX 的更新记录：Coordinate X  ---> Coordinate X 
>>>>mapEditor.mapEditor.coordinateY 的更新记录：Coordinate Y  ---> Coordinate Y 
>>>>mapEditor.mapEditor.xOffset 的更新记录：X offset  ---> X Offset 
>>>>mapEditor.mapEditor.yOffset 的更新记录：Y offset  ---> Y Offset 
>>>>mapEditor.mapEditor.codePointEncoding 的更新记录：Point encoding  ---> Point Encoding 
>>>>mapEditor.mapEditor.codePointName 的更新记录：Code point name  ---> Code Point Name 
>>>>mapEditor.mapEditor.codePointType 的更新记录：Code point type  ---> Code Point Type 
>>>>mapEditor.mapEditor.codeValue 的更新记录：Code value  ---> Qr Code 
>>>>mapEditor.mapEditor.zoneCode 的更新记录：Zone Code  ---> Zone Code 
>>>>mapEditor.mapEditor.ml4 的更新记录：Maximum length 4  ---> MaximumLength 4 
>>>>mapEditor.mapEditor.workstationCode 的更新记录：Workstation code  ---> Workstation Code 
>>>>mapEditor.mapEditor.chargingStationCode 的更新记录：Charging station code  ---> Charging Station Code 
>>>>mapEditor.mapEditor.chargerType 的更新记录：Charging station type  ---> Charging Station Type 
>>>>mapEditor.mapEditor.chargerPortType 的更新记录：Charging port type  ---> Charging Port Type 
>>>>mapEditor.mapEditor.automaticChargingStation 的更新记录：Automatic charging station  ---> Automatic Charging Station 
>>>>mapEditor.mapEditor.batteryReplacementStation 的更新记录：Battery replacement station  ---> Battery Replacement Station 
>>>>mapEditor.mapEditor.workstationMode 的更新记录：Workstation mode  ---> Workstation Mode 
>>>>mapEditor.mapEditor.workstationOrientation 的更新记录：Workstation orientation  ---> Workstation Orientation 
>>>>mapEditor.mapEditor.chargePointOrientation 的更新记录：Charge point orientation  ---> Charger Pile Orientation 
>>>>mapEditor.mapEditor.commutationPoint 的更新记录：Commutation point  ---> Commutation Point 
>>>>mapEditor.mapEditor.waitingPoint 的更新记录：Waiting point  ---> Waiting point 
>>>>mapEditor.mapEditor.robotReversing 的更新记录：Robot reversing  ---> Robot Reversing 
>>>>mapEditor.mapEditor.channelType 的更新记录：Channel Type  ---> Channel Type 
>>>>mapEditor.mapEditor.channelNumber 的更新记录：Channel Number  ---> Channel Number 
>>>>mapEditor.mapEditor.channelPointFlag 的更新记录：Avoidance Point  ---> Avoidance Point 
>>>>mapEditor.mapEditor.SelectYes 的更新记录：Yes  ---> Yes 
>>>>mapEditor.mapEditor.SelectNo 的更新记录：No  ---> No 
>>>>mapEditor.mapEditor.singleChannel 的更新记录：Single Channel Point  ---> Single Channel Point 
>>>>mapEditor.mapEditor.singleAvoidChannel 的更新记录：Single Channel Avoidance Point  ---> Single Channel Avoidance Point 
>>>>mapEditor.mapEditor.scanRange 的更新记录：Scan range  ---> Scan Range 
>>>>mapEditor.mapEditor.agvDirection 的更新记录：Robot direction  ---> Robot Direction 
>>>>mapEditor.mapEditor.slamMapCode 的更新记录：SLAM Map Code  ---> SLAM Map Code 
>>>>mapEditor.mapEditor.standbyParameter01 的更新记录：Standby parm01  ---> Standby parameter 01 
>>>>mapEditor.mapEditor.standbyParameter02 的更新记录：Standby parm02  ---> Standby parameter 02 
>>>>mapEditor.mapEditor.standbyParameter03 的更新记录：Standby parm03  ---> Standby parameter 03 
>>>>mapEditor.mapEditor.startPointGuidanceMode 的更新记录：startPointGuidanceMode  ---> Startpointguidancemode 
>>>>mapEditor.mapEditor.endPointGuidanceMode 的更新记录：endPointGuidanceMode  ---> End Point Guidance Mode 
>>>>mapEditor.mapEditor.pointGuidanceMode_null 的更新记录：empty  ---> Empty 
>>>>mapEditor.mapEditor.pointGuidanceMode_reflector 的更新记录：reflector  ---> ReflectLight 
>>>>mapEditor.mapEditor.pointGuidanceMode_vision 的更新记录：vision  ---> Vision 
>>>>mapEditor.mapEditor.reflectorInternalSpacing 的更新记录：reflectorIntSpacing  ---> Reflector Internal Spacing 
>>>>mapEditor.mapEditor.reflectorDistance 的更新记录：reflectorDistance  ---> Reflector Distance 
>>>>mapEditor.mapEditor.barCodeHeight 的更新记录：barCodeHeight  ---> BarCodeHeight 
>>>>mapEditor.mapEditor.barCodeWidth 的更新记录：barCodeWidth  ---> BarCodeWidth 
>>>>mapEditor.mapEditor.obstacleCode 的更新记录：Obstacle code  ---> Obstacle Code 
>>>>mapEditor.mapEditor.displayType 的更新记录：Display type  ---> Display Type 
>>>>mapEditor.mapEditor.xTotalLength 的更新记录：Total length in X direction  ---> Total length in X direction 
>>>>mapEditor.mapEditor.yTotalLength 的更新记录：Total length in Y direction  ---> Total length in Y direction 
>>>>mapEditor.mapEditor.addEdgeData 的更新记录：Add edge data  ---> Add Edge Data 
>>>>mapEditor.mapEditor.property 的更新记录：Property  ---> Property 
>>>>mapEditor.mapEditor.value 的更新记录：Value  ---> Value 
>>>>mapEditor.mapEditor.editMap 的更新记录：Edit map  ---> Edit Map 
>>>>mapEditor.mapEditor.warehouseCode 的更新记录：Warehouse Code  ---> Warehouse Code 
>>>>mapEditor.mapEditor.noSpacesAllowed 的更新记录：No spaces allowed  ---> No spaces allowed 
>>>>mapEditor.mapEditor.zeroNoAllowed 的更新记录：Must be a number and cannot be zero  ---> Must be a number and cannot be zero 
>>>>mapEditor.mapEditor.mapCode 的更新记录：Map Code  ---> Map Code 
>>>>mapEditor.mapEditor.ml20 的更新记录：Maximum length 20  ---> MaximumLength 20 
>>>>mapEditor.mapEditor.mapName 的更新记录：Map name  ---> Map Name 
>>>>mapEditor.mapEditor.mapVersion 的更新记录：Map Version  ---> Map Version 
>>>>mapEditor.mapEditor.mapLength 的更新记录：Map length(mm)  ---> Map Length(mm) 
>>>>mapEditor.mapEditor.mapWidth 的更新记录：Map width(mm)  ---> Map Width(mm) 
>>>>mapEditor.mapEditor.xAxisSpacing 的更新记录：X axis spacing(mm)  ---> X Axis Spacing(mm) 
>>>>mapEditor.mapEditor.yAxisSpacing 的更新记录：Y axis spacing(mm)  ---> Y Axis Spacing(mm) 
>>>>mapEditor.mapEditor.newFile 的更新记录：New(N)  ---> New(N) 
>>>>mapEditor.mapEditor.open 的更新记录：Open(O)  ---> Open(O) 
>>>>mapEditor.mapEditor.update 的更新记录：Update(U)  ---> Publish(U) 
>>>>mapEditor.mapEditor.download 的更新记录：Download(D)  ---> Download(D) 
>>>>mapEditor.mapEditor.downloadTemplate 的更新记录：Download codePoint template(T)  ---> Download CodePoint Template(T) 
>>>>mapEditor.mapEditor.A1 的更新记录：CodePointType  ---> Code Point Type 
>>>>mapEditor.mapEditor.A2 的更新记录：PATH  ---> Path Point 
>>>>mapEditor.mapEditor.A3 的更新记录：STORAGE  ---> Storage Point 
>>>>mapEditor.mapEditor.B1 的更新记录：X coordinate  ---> X Coordinates 
