更新国际化文件地址: E:\Quicktcon\evo-amr\evo-rcs-web-dev\2.8.2\server-plugins\server-rcs-peripheral-plugin\config\locale\en-US.js: 
>>>>menu.device 的更新记录：Device Management  ---> Device Management 
>>>>rcsPeripheral.menu.peripheralList 的更新记录：Device List  ---> Device List 
>>>>rcsPeripheral.menu.autoPath 的更新记录：Automation Path  ---> Automation Path 
>>>>rcsPeripheral.menu.automatedPathEdit 的更新记录：Automation Path Edit  ---> Automation Path Edit 
>>>>rcsPeripheral.menu.autoDischargeCargo 的更新记录：Automatic Unloading Point  ---> Automatic Unloading Point 
>>>>rcsPeripheral.menu.interactiveDevice 的更新记录：Interactive Device Management  ---> Interactive Device Management 
>>>>rcsPeripheral.menu.interactiveDeviceAdd 的更新记录：Interactive Device Management Add  ---> Interactive Device Management Add 
>>>>rcsPeripheral.menu.interactiveDeviceEdit 的更新记录：Interactive Device Management Edit  ---> Interactive Device Management Edit 
>>>>rcsPeripheral.menu.interactiveDeviceView 的更新记录：Interactive Device Management View  ---> Interactive Device Management View 
>>>>rcsPeripheral.base.exportOperateAll 的更新记录：Export all  ---> Export All 
>>>>rcsPeripheral.base.exportOperate 的更新记录：Export  ---> Export 
>>>>rcsPeripheral.base.otherParams 的更新记录：Other fields  ---> Other Fields 
>>>>rcsPeripheral.base.otherValue 的更新记录：field value  ---> Field Value 
>>>>rcsPeripheral.deviceList.exportOperateAll 的更新记录：Export all  ---> Export All 
>>>>rcsPeripheral.deviceList.exportOperate 的更新记录：Export  ---> Export 
>>>>rcsPeripheral.deviceList.onlineState 的更新记录：system state  ---> System State 
>>>>rcsPeripheral.deviceList.deviceBasicType 的更新记录：Equipment_type  ---> Device Type 
>>>>rcsPeripheral.deviceList.btn.import 的更新记录：import  ---> import 
>>>>rcsPeripheral.deviceList.btn.template 的更新记录：Download Import Template  ---> Download Import Template 
>>>>rcsPeripheral.deviceList.op 的更新记录：Operation  ---> Operate 
>>>>rcsPeripheral.deviceList.op.edit 的更新记录：Operation  ---> Operate 
>>>>rcsPeripheral.deviceList.id 的更新记录：Device ID  ---> Device ID 
>>>>rcsPeripheral.deviceList.warehouseId 的更新记录：warehouseId  ---> Warehouse ID 
>>>>rcsPeripheral.deviceList.warehouseCode 的更新记录：Warehouse Code  ---> Warehouse Code 
>>>>rcsPeripheral.deviceList.warehouseName 的更新记录：Warehouse Name  ---> Warehouse Name 
>>>>rcsPeripheral.deviceList.equipmentCode 的更新记录：equipment code  ---> Equipment Code 
>>>>rcsPeripheral.deviceList.equipmentClassification 的更新记录：Equipment distinction  ---> Equipment Distinction 
>>>>rcsPeripheral.deviceList.equipmentName 的更新记录：equipment name  ---> Equipment Name 
>>>>rcsPeripheral.deviceList.enabled 的更新记录：Enabled Status  ---> Enabled Status 
>>>>rcsPeripheral.deviceList.outInWarehouseMode 的更新记录：In / out mode  ---> In / Out Mode 
>>>>rcsPeripheral.deviceList.carrierCapacity 的更新记录：Carrying capacity  ---> Carrying Capacity 
>>>>rcsPeripheral.deviceList.skipCommand 的更新记录：Jump instruction set  ---> Jump Instruction Set 
>>>>rcsPeripheral.deviceList.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.deviceList.createdUser 的更新记录：createdUser  ---> User Created 
>>>>rcsPeripheral.deviceList.createdApp 的更新记录：createdApp  ---> CreatedApp 
>>>>rcsPeripheral.deviceList.createdTime 的更新记录：createdTime  ---> CreatedTime 
>>>>rcsPeripheral.deviceList.lastUpdatedUser 的更新记录：lastUpdatedUser  ---> LastUpdatedUser 
>>>>rcsPeripheral.deviceList.lastUpdatedApp 的更新记录：lastUpdatedApp  ---> LastUpdatedApp 
>>>>rcsPeripheral.deviceList.lastUpdatedTime 的更新记录：lastUpdatedTime  ---> LastUpdatedTime 
>>>>rcsPeripheral.deviceEdit.title 的更新记录：Device Edit  ---> Device Edit 
>>>>rcsPeripheral.deviceEdit.id 的更新记录：device ID  ---> device ID 
>>>>rcsPeripheral.deviceEdit.warehouseId 的更新记录：warehouse ID  ---> Warehouse ID 
